game_datetime,home_team,away_team,home_team_score,away_team_score,home_team_win_pct,away_team_win_pct,home_team_points_per_game,away_team_points_per_game,home_team_points_allowed_per_game,away_team_points_allowed_per_game,stadium_latitude,stadium_longitude
2019-11-18,LAC,KC,17.0,24.0,0.0,0.6,24.0,28.4,30.0,23.9,0,0
2019-11-21,HOU,IND,20.0,17.0,0.6666666666666666,0.8,28.666666666666668,29.6,24.0,22.6,0,0
2019-11-24,ATL,TB,22.0,35.0,0.6666666666666666,1.0,23.333333333333332,31.0,23.666666666666668,17.0,0,0
2019-11-24,BUF,DEN,20.0,3.0,0.7,0.7142857142857143,21.1,28.857142857142858,17.0,21.428571428571427,0,0
2019-11-24,CHI,NYG,19.0,14.0,0.6,1.0,24.3,22.5,19.8,15.0,0,0
2019-11-24,CIN,PIT,10.0,16.0,1.0,1.0,36.0,32.0,17.0,18.0,0,0
2019-11-24,CLE,MIA,41.0,24.0,1.0,0.5555555555555556,31.75,21.555555555555557,14.25,21.444444444444443,0,0
2019-11-24,NO,CAR,34.0,31.0,0.2222222222222222,1.0,21.22222222222222,29.571428571428573,28.77777777777778,11.0,0,0
2019-11-24,NYJ,OAK,34.0,3.0,1.0,1.0,17.0,34.0,16.0,18.0,0,0
2019-11-24,PHI,SEA,9.0,17.0,0.7142857142857143,0.8888888888888888,19.142857142857142,28.77777777777778,17.428571428571427,14.333333333333334,0,0
2019-11-24,WAS,DET,19.0,16.0,1.0,1.0,26.0,33.75,10.666666666666666,23.5,0,0
2019-11-24,TEN,JAX,42.0,20.0,0.6,1.0,28.4,40.0,23.9,26.0,0,0
2019-11-24,NE,DAL,13.0,9.0,0.75,0.0,19.0,24.0,15.75,31.5,0,0
2019-11-24,SF,GB,37.0,8.0,0.9,0.625,29.5,28.25,15.5,22.625,0,0
2019-11-25,LA,BAL,6.0,45.0,1.0,1.0,29.4,33.666666666666664,12.8,21.333333333333332,0,0
2019-11-28,DET,CHI,20.0,24.0,1.0,0.6,33.75,24.3,23.5,19.8,0,0
2019-11-28,DAL,BUF,15.0,26.0,0.0,0.7272727272727273,24.0,21.0,31.5,15.727272727272727,0,0
2019-11-28,ATL,NO,18.0,26.0,0.6666666666666666,0.2222222222222222,23.333333333333332,21.22222222222222,23.666666666666668,28.77777777777778,0,0
2019-12-01,BAL,SF,20.0,17.0,1.0,0.9090909090909091,33.666666666666664,30.181818181818183,21.333333333333332,14.818181818181818,0,0
2019-12-01,CAR,WAS,21.0,29.0,1.0,1.0,29.571428571428573,26.0,11.0,10.666666666666666,0,0
2019-12-01,CIN,NYJ,22.0,6.0,1.0,1.0,36.0,17.0,17.0,16.0,0,0
