game_id,season,week,game_date,venue_name,venue_indoor,venue_latitude,venue_longitude,home_team,home_score,home_record,home_win_percentage,away_team,away_score,away_record,away_win_percentage,away_firstdowns,away_firstdownspassing,away_firstdownsrushing,away_firstdownspenalty,away_thirddowneff,away_fourthdowneff,away_totaloffensiveplays,away_totalyards,away_yardsperplay,away_totaldrives,away_netpassingyards,away_completionattempts,away_yardsperpass,away_interceptions,away_sacksyardslost,away_rushingyards,away_rushingattempts,away_yardsperrushattempt,away_redzoneattempts,away_totalpenaltiesyards,away_turnovers,away_fumbleslost,away_defensivetouchdowns,away_possessiontime,spread,over_under,home_moneyline,away_moneyline,away_totalpointspergame,away_yardspergame,away_passingyardspergame,away_rushingyardspergame,away_totalpointspergameallowed,away_yardspergameallowed,away_passingyardspergameallowed,away_rushingyardspergameallowed
401127970,2019,3,2019-09-22T20:25Z,Dignity Health Sports Park,,,,LAC,20,1-2,0.0,HOU,27,2-1,0.0,22,17,3,2,5-15,2-3,69,366,5.3,10,293,31/46,5.7,0,5-25,73,18,4.1,2-3,7-69,1,1,0,31:48,,,,,,,,,,,,
401127998,2019,3,2019-09-22T20:25Z,Levi's Stadium,,,,SF,24,3-0,0.0,PIT,20,0-3,0.0,26,14,9,3,6-11,0-0,73,436,6.0,14,268,23/32,8.1,2,1-9,168,40,4.2,3-6,5-71,5,3,0,36:17,,,,,,,,,,,,
401127993,2019,3,2019-09-22T20:25Z,Lumen Field,,,,SEA,27,2-1,0.0,NO,33,2-1,0.0,26,18,5,3,5-14,1-4,76,514,6.8,13,406,32/50,8.1,0,0-0,108,26,4.2,4-5,7-53,1,1,0,31:33,,,,,,,,,,,,
401128125,2019,3,2019-09-23T00:20Z,Huntington Bank Field,,,,CLE,13,1-2,0.0,LAR,20,3-0,0.0,18,11,4,3,6-16,0-2,63,270,4.3,11,175,18/36,4.5,1,3-20,95,24,4.0,1-4,8-60,1,0,0,31:37,,,,,,,,,,,,
401128003,2019,3,2019-09-24T00:15Z,Northwest Stadium,,,,WSH,15,0-3,0.0,CHI,31,2-1,0.0,25,20,2,3,3-9,2-3,68,356,5.2,11,287,30/43,6.1,3,4-45,69,21,3.3,2-5,9-61,5,2,0,28:24,,,,,,,,,,,,
401127863,2019,4,2019-09-27T00:20Z,Lambeau Field,,,,GB,27,3-1,0.0,PHI,34,2-2,0.0,31,19,4,8,6-11,0-1,74,491,6.6,10,414,34/53,7.7,1,1-8,77,20,3.9,3-7,5-50,2,1,0,32:21,,,,,,,,,,,,
401128016,2019,4,2019-09-29T17:00Z,Mercedes-Benz Stadium,,,,ATL,10,1-3,0.0,TEN,24,2-2,0.0,24,17,5,2,5-14,1-4,75,422,5.6,11,364,35/53,6.3,0,5-33,58,17,3.4,1-3,7-50,1,1,0,30:41,,,,,,,,,,,,
401127866,2019,4,2019-09-29T17:00Z,Highmark Stadium,,,,BUF,10,3-1,0.0,NE,16,4-0,0.0,23,13,6,4,2-13,1-2,71,375,5.3,14,240,22/44,4.9,4,5-40,135,22,6.1,1-2,8-76,4,0,0,32:40,,,,,,,,,,,,
401128023,2019,4,2019-09-29T17:00Z,Ford Field,,,,DET,30,2-1-1,0.0,KC,34,4-0,0.0,29,17,8,4,5-13,0-0,73,447,6.1,13,261,21/34,6.9,0,4-30,186,35,5.3,3-6,8-48,2,2,0,33:55,,,,,,,,,,,,
401128030,2019,4,2019-09-29T17:00Z,Lucas Oil Stadium,,,,IND,24,2-2,0.0,OAK,31,2-2,0.0,22,14,4,4,6-16,3-3,69,346,5.0,12,265,24/46,5.8,1,0-0,81,23,3.5,2-3,5-35,2,1,0,26:19,,,,,,,,,,,,
401128055,2019,4,2019-09-29T17:00Z,Hard Rock Stadium,,,,MIA,10,0-4,0.0,LAC,30,2-2,0.0,13,8,3,2,5-10,0-1,47,233,5.0,8,161,17/24,5.6,1,5-19,72,18,4.0,0-1,5-53,1,0,0,22:24,,,,,,,,,,,,
401128059,2019,4,2019-09-29T17:00Z,MetLife Stadium,,,,NYG,24,2-2,0.0,WSH,3,0-4,0.0,24,13,7,4,8-13,1-1,68,389,5.7,11,225,23/31,7.3,2,0-0,164,37,4.4,2-4,5-45,4,2,2,36:09,,,,,,,,,,,,
401128018,2019,4,2019-09-29T17:00Z,M&T Bank Stadium,,,,BAL,25,2-2,0.0,CLE,40,2-2,0.0,24,12,11,1,4-10,1-2,67,395,5.9,12,222,24/34,5.8,2,4-25,173,29,6.0,2-2,3-15,3,1,0,29:43,,,,,,,,,,,,
401128026,2019,4,2019-09-29T17:00Z,NRG Stadium,,,,HOU,10,2-2,0.0,CAR,16,2-2,0.0,18,7,8,3,4-11,0-0,62,264,4.3,12,128,21/34,3.2,1,6-32,136,22,6.2,1-3,7-81,2,1,0,29:22,,,,,,,,,,,,
401128069,2019,4,2019-09-29T20:05Z,Los Angeles Memorial Coliseum,,,,LAR,40,3-1,0.0,TB,55,2-2,0.0,36,27,3,6,4-11,0-1,81,518,6.4,12,490,45/68,7.0,3,2-27,28,11,2.5,3-4,13-106,4,1,2,27:24,,,,,,,,,,,,
401128064,2019,4,2019-09-29T20:05Z,State Farm Stadium,,,,ARI,10,0-3-1,0.0,SEA,27,3-1,0.0,20,12,6,2,3-9,0-0,59,321,5.4,10,206,22/32,5.7,1,4-35,115,23,5.0,1-3,7-44,1,0,0,26:36,,,,,,,,,,,,
401128093,2019,4,2019-09-29T20:25Z,Soldier Field,,,,CHI,16,3-1,0.0,MIN,6,2-2,0.0,17,11,4,2,5-16,2-3,67,269,4.0,10,197,24/33,5.8,0,1-7,72,33,2.2,1-4,7-50,0,0,0,35:27,,,,,,,,,,,,
401128097,2019,4,2019-09-29T20:25Z,Empower Field at Mile High,,,,DEN,24,0-4,0.0,JAX,26,2-2,0.0,19,15,2,2,4-11,0-0,54,371,6.9,12,303,22/38,8.0,1,0-0,68,16,4.3,2-3,5-48,1,0,0,20:48,,,,,,,,,,,,
401128102,2019,4,2019-09-30T00:20Z,Caesars Superdome,,,,NO,12,3-1,0.0,DAL,10,3-1,0.0,18,6,10,2,6-14,0-0,62,266,4.3,9,149,23/30,4.3,1,5-44,117,27,4.3,0-4,9-80,1,0,0,36:04,,,,,,,,,,,,
401128109,2019,4,2019-10-01T00:15Z,Acrisure Stadium,,,,PIT,27,1-3,0.0,CIN,3,0-4,0.0,20,12,5,3,3-9,0-1,56,326,5.8,10,260,27/31,8.4,0,0-0,66,25,2.6,1-2,4-37,1,1,0,29:46,,,,,,,,,,,,
