home_games_played,home_points_scored,home_points_allowed,home_wins,home_losses,home_ties,away_games_played,away_points_scored,away_points_allowed,away_wins,away_losses,away_ties,total_games,avg_points_scored,avg_points_allowed,total_wins,total_losses,total_ties,win_percentage,year,team
8,18.125,23.5,2,6,0,9,17.666666666666668,24.0,3,6,0,17,17.88235294117647,23.764705882352942,5,12,0,0.29411764705882354,2021,CAR
9,20.333333333333332,27.77777777777778,2,7,0,8,12.125,25.25,2,6,0,17,16.470588235294116,26.58823529411765,4,13,0,0.23529411764705882,2021,HOU
9,26.11111111111111,17.555555555555557,7,2,0,8,30.625,25.75,5,3,0,17,28.235294117647058,21.41176470588235,12,5,0,0.7058823529411765,2021,KC
9,31.22222222222222,19.444444444444443,4,5,0,8,22.625,16.0,6,2,0,17,27.176470588235293,17.823529411764707,10,7,0,0.5882352941176471,2021,NE
8,20.5,21.5,3,5,0,9,22.22222222222222,18.11111111111111,6,3,0,17,21.41176470588235,19.705882352941178,9,8,0,0.5294117647058824,2021,NO
8,14.0,18.875,3,5,0,9,16.22222222222222,29.444444444444443,1,8,0,17,15.176470588235293,24.470588235294116,4,13,0,0.23529411764705882,2021,NYG
9,22.22222222222222,25.77777777777778,5,4,0,8,21.75,25.875,5,3,0,17,22.0,25.823529411764707,10,7,0,0.5882352941176471,2021,LV
8,19.125,19.625,3,5,0,9,17.555555555555557,27.77777777777778,3,6,0,17,18.294117647058822,23.941176470588236,6,11,0,0.35294117647058826,2021,CHI
9,18.88888888888889,17.444444444444443,6,3,0,8,22.375,26.75,2,6,0,17,20.529411764705884,21.823529411764707,8,9,0,0.47058823529411764,2021,CLE
9,22.333333333333332,19.77777777777778,6,3,0,8,17.5,24.375,3,5,0,17,20.058823529411764,21.941176470588236,9,8,0,0.5294117647058824,2021,MIA
9,19.77777777777778,29.0,3,6,0,8,16.5,30.375,1,7,0,17,18.235294117647058,29.647058823529413,4,13,0,0.23529411764705882,2021,NYJ
8,26.75,27.625,3,5,0,9,25.555555555555557,18.22222222222222,6,3,0,17,26.11764705882353,22.647058823529413,9,8,0,0.5294117647058824,2021,PHI
9,20.77777777777778,19.77777777777778,6,2,1,8,19.5,27.5,3,5,0,17,20.176470588235293,23.41176470588235,9,7,1,0.5588235294117647,2021,PIT
9,16.555555555555557,23.22222222222222,3,6,0,8,13.0,31.0,0,8,0,17,14.882352941176471,26.88235294117647,3,14,0,0.17647058823529413,2021,JAX
8,22.75,24.5,3,5,0,9,29.666666666666668,18.88888888888889,8,1,0,17,26.41176470588235,21.529411764705884,11,6,0,0.6470588235294118,2021,ARI
9,30.666666666666668,26.11111111111111,5,4,0,8,24.75,28.0,4,4,0,17,27.88235294117647,27.0,9,8,0,0.5294117647058824,2021,LAC
8,25.75,22.375,3,5,0,9,21.0,20.77777777777778,4,5,0,17,23.235294117647058,21.529411764705884,7,10,0,0.4117647058823529,2021,SEA
9,25.555555555555557,23.88888888888889,5,4,0,8,19.625,22.125,3,5,0,17,22.764705882352942,23.058823529411764,8,9,0,0.47058823529411764,2021,BAL
8,30.625,16.75,8,0,0,9,22.77777777777778,26.333333333333332,5,4,0,17,26.470588235294116,21.823529411764707,13,4,0,0.7647058823529411,2021,GB
9,20.77777777777778,18.11111111111111,4,5,0,8,18.5,19.875,3,5,0,17,19.705882352941178,18.941176470588236,7,10,0,0.4117647058823529,2021,DEN
8,24.5,21.75,5,3,0,9,25.444444444444443,28.0,3,6,0,17,25.0,25.058823529411764,8,9,0,0.47058823529411764,2021,MIN
8,25.375,21.875,4,4,0,9,24.88888888888889,21.11111111111111,6,3,0,17,25.11764705882353,21.470588235294116,10,7,0,0.5882352941176471,2021,SF
8,36.375,22.125,5,3,0,9,26.555555555555557,20.11111111111111,7,2,0,17,31.176470588235293,21.058823529411764,12,5,0,0.7058823529411765,2021,DAL
9,24.88888888888889,21.555555555555557,6,3,0,8,17.625,24.0,1,7,0,17,21.470588235294116,22.705882352941178,7,10,0,0.4117647058823529,2022,ATL
9,19.555555555555557,25.0,2,7,0,8,18.75,29.75,1,7,0,17,19.176470588235293,27.235294117647058,3,14,0,0.17647058823529413,2022,CHI
7,28.714285714285715,18.0,6,1,0,9,24.11111111111111,21.77777777777778,6,3,0,16,26.125,20.125,12,4,0,0.75,2022,CIN
9,33.111111111111114,25.333333333333332,5,4,0,8,19.375,24.875,4,4,0,17,26.647058823529413,25.11764705882353,9,8,0,0.5294117647058824,2022,DET
8,21.625,15.5,6,2,0,9,24.88888888888889,30.555555555555557,3,6,0,17,23.352941176470587,23.470588235294116,9,8,0,0.5294117647058824,2022,MIA
8,18.625,19.5,3,5,0,9,16.333333333333332,17.77777777777778,4,5,0,17,17.41176470588235,18.58823529411765,7,10,0,0.4117647058823529,2022,NYJ
9,22.11111111111111,19.77777777777778,5,4,0,8,18.5,24.5,2,6,0,17,20.41176470588235,22.0,7,10,0,0.4117647058823529,2022,CAR
8,15.25,26.375,0,7,1,9,18.555555555555557,23.22222222222222,3,6,0,17,17.0,24.705882352941178,3,13,1,0.20588235294117646,2022,HOU
8,18.125,20.625,3,5,0,9,17.0,21.555555555555557,4,5,0,17,17.529411764705884,21.11764705882353,7,10,0,0.4117647058823529,2022,TEN
9,27.0,25.22222222222222,8,1,0,8,22.625,25.0,5,3,0,17,24.941176470588236,25.11764705882353,13,4,0,0.7647058823529411,2022,MIN
9,19.555555555555557,28.666666666666668,1,8,0,8,20.5,23.875,3,5,0,17,20.0,26.41176470588235,4,13,0,0.23529411764705882,2022,ARI
8,21.75,22.625,5,3,0,9,24.11111111111111,22.555555555555557,5,4,0,17,23.0,22.58823529411765,10,7,0,0.5882352941176471,2022,LAC
9,30.0,19.666666666666668,8,1,0,8,24.625,20.625,4,4,0,17,27.470588235294116,20.11764705882353,12,5,0,0.7058823529411765,2022,DAL
9,22.11111111111111,19.77777777777778,5,4,0,8,26.0,27.875,4,4,0,17,23.941176470588236,23.58823529411765,9,8,0,0.5294117647058824,2022,SEA
8,25.125,19.375,7,1,0,9,32.77777777777778,23.77777777777778,7,2,0,17,29.176470588235293,21.705882352941178,14,3,0,0.8235294117647058,2022,KC
8,22.5,20.75,4,4,0,9,20.11111111111111,23.88888888888889,3,6,0,17,21.235294117647058,22.41176470588235,7,10,0,0.4117647058823529,2022,CLE
9,21.333333333333332,20.555555555555557,4,5,0,8,17.25,20.0,3,5,0,17,19.41176470588235,20.294117647058822,7,10,0,0.4117647058823529,2022,NO
