date,home_team,away_team,home_score,away_score,stadium,total_yards,rush_attempts,pass_attempts,completions,first_downs,third_down_attempts,third_down_conv,fourth_down_attempts,fourth_down_conv,turnovers,penalty_yards
2019-10-13,DEN,TEN,16.0,0.0,Empower Field at Mile High,474.0,51.0,70.0,38.0,23.0,28.0,4.0,2.0,0.0,7.0,91.0
2019-10-13,NYJ,DAL,24.0,22.0,MetLife Stadium,781.0,54.0,76.0,51.0,45.0,27.0,12.0,1.0,0.0,1.0,173.0
2019-10-13,LAC,PIT,17.0,24.0,StubHub Center,604.0,50.0,65.0,41.0,39.0,25.0,15.0,0.0,0.0,5.0,119.0
2019-10-14,GB,DET,23.0,22.0,Lambeau Field,746.0,49.0,75.0,42.0,35.0,25.0,7.0,1.0,1.0,4.0,98.0
2019-10-17,DEN,KC,6.0,30.0,Empower Field at Mile High,476.0,49.0,74.0,41.0,29.0,28.0,6.0,4.0,2.0,4.0,79.0
2019-10-20,ATL,LA,10.0,37.0,Mercedes-Benz Stadium,605.0,51.0,76.0,45.0,37.0,28.0,11.0,1.0,1.0,5.0,72.0
2019-10-20,BUF,MIA,31.0,21.0,New Era Field,688.0,54.0,64.0,39.0,41.0,23.0,10.0,2.0,2.0,4.0,138.0
2019-10-20,CIN,JAX,17.0,27.0,Paul Brown Stadium,753.0,64.0,80.0,37.0,42.0,28.0,9.0,2.0,1.0,5.0,180.0
2019-10-20,DET,MIN,30.0,42.0,Ford Field,937.0,57.0,82.0,54.0,58.0,21.0,12.0,1.0,0.0,3.0,127.0
2019-10-20,GB,OAK,42.0,24.0,Lambeau Field,,,,,,,,,,,
2019-10-20,IND,HOU,30.0,23.0,Lucas Oil Stadium,774.0,50.0,78.0,49.0,44.0,28.0,12.0,4.0,1.0,3.0,99.0
2019-10-20,NYG,ARI,21.0,27.0,MetLife Stadium,508.0,60.0,66.0,36.0,38.0,27.0,11.0,4.0,2.0,4.0,160.0
2019-10-20,WAS,SF,0.0,9.0,FedExField,437.0,65.0,38.0,21.0,27.0,25.0,10.0,3.0,1.0,3.0,67.0
2019-10-20,TEN,LAC,23.0,20.0,Nissan Stadium,768.0,50.0,71.0,48.0,46.0,22.0,12.0,3.0,1.0,5.0,83.0
2019-10-20,CHI,NO,25.0,36.0,Soldier Field,678.0,42.0,96.0,57.0,40.0,27.0,9.0,2.0,1.0,2.0,45.0
2019-10-20,SEA,BAL,16.0,30.0,CenturyLink Field,687.0,61.0,63.0,29.0,34.0,30.0,15.0,1.0,1.0,4.0,93.0
2019-10-20,DAL,PHI,37.0,10.0,AT&T Stadium,685.0,64.0,59.0,37.0,39.0,23.0,11.0,3.0,2.0,7.0,105.0
2019-10-21,NYJ,NE,0.0,33.0,MetLife Stadium,477.0,54.0,78.0,42.0,34.0,27.0,9.0,2.0,1.0,8.0,152.0
2019-10-24,MIN,WAS,19.0,9.0,U.S. Bank Stadium,650.0,54.0,54.0,38.0,33.0,22.0,10.0,3.0,1.0,4.0,120.0
2019-10-27,ATL,SEA,20.0,27.0,Mercedes-Benz Stadium,834.0,50.0,78.0,53.0,48.0,18.0,6.0,1.0,1.0,3.0,100.0
2019-10-27,BUF,PHI,13.0,31.0,New Era Field,626.0,62.0,65.0,33.0,35.0,30.0,14.0,4.0,0.0,5.0,101.0
2019-10-27,CHI,LAC,16.0,17.0,Soldier Field,619.0,50.0,69.0,42.0,36.0,24.0,7.0,1.0,1.0,3.0,95.0
2019-10-27,DET,NYG,31.0,26.0,Ford Field,745.0,49.0,81.0,53.0,41.0,26.0,15.0,2.0,0.0,4.0,119.0
2019-10-27,IND,DEN,15.0,13.0,Lucas Oil Stadium,597.0,59.0,64.0,35.0,39.0,24.0,6.0,0.0,0.0,3.0,191.0
2019-10-27,JAX,NYJ,29.0,15.0,TIAA Bank Stadium,604.0,48.0,75.0,43.0,34.0,26.0,10.0,3.0,1.0,7.0,153.0
2019-10-27,LA,CIN,24.0,10.0,Wembley Stadium,871.0,48.0,88.0,49.0,43.0,31.0,13.0,6.0,4.0,0.0,99.0
2019-10-27,NO,ARI,31.0,9.0,Mercedes-Benz Superdome,747.0,40.0,81.0,53.0,38.0,24.0,9.0,2.0,0.0,2.0,50.0
2019-10-27,TEN,TB,27.0,23.0,Nissan Stadium,637.0,51.0,84.0,42.0,39.0,28.0,12.0,3.0,1.0,7.0,164.0
2019-10-27,SF,CAR,51.0,13.0,Levi's Stadium,620.0,58.0,70.0,37.0,35.0,23.0,7.0,2.0,0.0,5.0,101.0
2019-10-27,HOU,OAK,27.0,24.0,NRG Stadium,,,,,,,,,,,
2019-10-27,NE,CLE,27.0,13.0,Gillette Stadium,628.0,49.0,75.0,40.0,34.0,28.0,8.0,3.0,2.0,4.0,117.0
